date,wind_speed,humidity,temperature
26-08-2009,13,83,6.9
27-08-2009,11,72,8.9
28-08-2009,7,87,7.2
29-08-2009,20,81,13
30-08-2009,26,77,6.7
31-08-2009,19,90,9.7
01-09-2009,7,96,9.7
02-09-2009,9,82,7
03-09-2009,4,80,10.2
04-09-2009,6,85,12.5
05-09-2009,4,81,8.6
06-09-2009,9,79,8.3
07-09-2009,9,73,13.9
08-09-2009,7,90,9.4
09-09-2009,17,82,9.5
10-09-2009,6,71,9.7
11-09-2009,7,83,8.7
12-09-2009,6,70,13.2
13-09-2009,9,44,17.3
14-09-2009,2,60,10.9
15-09-2009,6,68,8.1
16-09-2009,7,74,11.2
17-09-2009,6,76,12.9
18-09-2009,0,75,12.9
19-09-2009,6,98,10.2
20-09-2009,0,79,14.3
21-09-2009,9,73,11.5
22-09-2009,17,77,15.5
23-09-2009,26,82,13.1
24-09-2009,9,72,12.6
25-09-2009,22,60,15.2
26-09-2009,37,79,7.9
27-09-2009,35,78,6.7
28-09-2009,17,79,9.2
29-09-2009,6,73,9.4
30-09-2009,7,75,11.3
01-10-2009,6,76,12.9
02-10-2009,4,68,16.1
03-10-2009,17,87,9.6
04-10-2009,0,85,12.6
05-10-2009,0,85,12.5
06-10-2009,6,85,8.8
07-10-2009,0,90,7.1
08-10-2009,6,65,7.8
09-10-2009,11,63,11.8
10-10-2009,17,55,11.2
11-10-2009,7,68,11.3
12-10-2009,9,88,11
13-10-2009,17,70,10.8
14-10-2009,26,88,10.3
15-10-2009,15,79,11.1
16-10-2009,15,77,8.8
17-10-2009,6,83,10.9
18-10-2009,6,72,12.1
19-10-2009,4,78,12.2
20-10-2009,7,71,13.4
21-10-2009,7,73,15.4
22-10-2009,9,67,15.6
23-10-2009,2,70,14.8
24-10-2009,9,68,14.7
25-10-2009,2,68,14.4
26-10-2009,20,52,14.7
27-10-2009,7,64,12.9
28-10-2009,4,67,17.9
29-10-2009,9,65,19.1
30-10-2009,11,75,19.1
31-10-2009,11,65,21.4
01-11-2009,9,66,23.1
02-11-2009,9,66,23.9
03-11-2009,24,46,24.2
04-11-2009,7,59,15
05-11-2009,7,67,14
06-11-2009,11,55,17.5
07-11-2009,6,57,19.2
08-11-2009,4,55,21
09-11-2009,7,48,22.1
10-11-2009,7,49,23.3
11-11-2009,4,43,24.5
12-11-2009,2,49,24.7
13-11-2009,19,42,23.2
14-11-2009,13,55,21.7
15-11-2009,6,57,23.9
16-11-2009,4,46,24.1
17-11-2009,19,38,19.5
18-11-2009,9,53,21
19-11-2009,17,29,27.8
20-11-2009,4,45,24.7
21-11-2009,9,95,19.7
22-11-2009,0,98,19.2
23-11-2009,7,63,14.4
24-11-2009,7,60,18.1
25-11-2009,4,60,22
26-11-2009,13,48,28.2
27-11-2009,11,82,17.6
28-11-2009,24,48,18.8
29-11-2009,6,94,13.5
30-11-2009,9,82,15.9
01-12-2009,24,43,16.6
02-12-2009,7,48,16.8
03-12-2009,6,57,20.3
04-12-2009,11,42,19.5
05-12-2009,2,44,17.6
06-12-2009,4,58,18.9
07-12-2009,6,47,21.2
08-12-2009,13,58,21
09-12-2009,6,64,15.7
10-12-2009,6,52,19.7
11-12-2009,19,62,12.8
12-12-2009,4,52,17
13-12-2009,2,52,19.5
14-12-2009,13,48,21.8
15-12-2009,7,51,22.1
16-12-2009,9,45,23.8
17-12-2009,9,40,24.2
18-12-2009,11,60,16
19-12-2009,2,45,19.1
20-12-2009,7,52,20.8
21-12-2009,6,48,21
22-12-2009,11,44,23.1
23-12-2009,11,41,27.2
24-12-2009,31,21,32.1
25-12-2009,0,84,20.9
26-12-2009,17,56,20
27-12-2009,11,61,22.1
28-12-2009,6,58,24.4
29-12-2009,4,46,25.6
30-12-2009,4,41,26
31-12-2009,15,41,28.1
01-01-2010,9,70,23.4
02-01-2010,6,88,20.6
03-01-2010,9,57,18
04-01-2010,11,55,21.3
05-01-2010,4,46,23.3
06-01-2010,2,49,24.3
07-01-2010,9,45,22.8
08-01-2010,6,50,24.6
09-01-2010,7,48,26.4
10-01-2010,9,38,27.8
11-01-2010,11,39,29.1
12-01-2010,7,48,29.4
13-01-2010,13,56,25.1
14-01-2010,15,55,20.9
15-01-2010,11,51,24.2
16-01-2010,22,50,27.7
17-01-2010,20,51,18
18-01-2010,22,44,14.4
19-01-2010,6,47,15
20-01-2010,2,52,18.5
21-01-2010,2,39,22.4
22-01-2010,7,40,26
23-01-2010,20,43,25
24-01-2010,6,50,21.5
25-01-2010,6,47,22.8
26-01-2010,0,35,22.9
27-01-2010,7,45,24.2
28-01-2010,2,51,23.1
29-01-2010,2,46,23.1
30-01-2010,15,48,23.5
31-01-2010,22,39,26.6
01-02-2010,4,46,25.2
02-02-2010,7,61,22.9
03-02-2010,15,36,24.3
04-02-2010,19,51,26.3
05-02-2010,9,83,22.1
06-02-2010,20,55,22.6
07-02-2010,19,53,23.2
08-02-2010,7,66,25.9
09-02-2010,6,58,26.9
10-02-2010,78,64,25.2
11-02-2010,9,76,24.2
12-02-2010,78,81,23.4
13-02-2010,9,82,21.2
14-02-2010,7,80,21.7
15-02-2010,7,76,19.7
16-02-2010,19,48,20.6
17-02-2010,6,66,19.4
18-02-2010,7,33,21
19-02-2010,9,54,20.8
20-02-2010,7,70,19.6
21-02-2010,6,71,23.8
22-02-2010,4,83,21.3
23-02-2010,15,56,15.2
24-02-2010,9,57,17.9
25-02-2010,2,61,19.5
26-02-2010,13,54,20.6
27-02-2010,9,70,20.8
28-02-2010,0,84,19.9
01-03-2010,19,50,17.1
02-03-2010,9,58,16.6
03-03-2010,0,61,17.8
04-03-2010,7,70,20.1
05-03-2010,24,74,20.9
06-03-2010,9,87,22.3
07-03-2010,15,89,19
08-03-2010,11,79,19.8
09-03-2010,20,90,16.3
10-03-2010,9,69,12.5
11-03-2010,13,56,15.2
12-03-2010,4,72,14.2
13-03-2010,0,80,15
14-03-2010,6,75,15.6
15-03-2010,0,72,16.2
16-03-2010,0,73,16.1
17-03-2010,2,76,17.6
18-03-2010,2,73,18.9
19-03-2010,4,79,17.7
20-03-2010,6,77,19.4
21-03-2010,0,78,20.2
22-03-2010,6,69,13
23-03-2010,6,79,12.1
24-03-2010,0,81,13.3
25-03-2010,4,75,15.4
26-03-2010,0,80,15.8
27-03-2010,0,73,18.3
28-03-2010,4,79,19.4
29-03-2010,7,94,18.2
30-03-2010,0,91,17.5
31-03-2010,9,71,16.5
01-04-2010,2,82,14.6
02-04-2010,0,78,15.3
03-04-2010,0,71,15.5
04-04-2010,13,58,18.3
05-04-2010,2,76,15.5
06-04-2010,0,75,15.7
07-04-2010,17,87,19.2
08-04-2010,13,84,17.5
09-04-2010,4,73,15.7
10-04-2010,6,84,16.7
11-04-2010,17,86,15.9
12-04-2010,19,71,11
13-04-2010,4,82,10.1
14-04-2010,9,81,12.5
15-04-2010,0,79,13.3
16-04-2010,6,79,13.6
17-04-2010,7,74,15.8
18-04-2010,0,67,16.8
19-04-2010,0,81,14.6
20-04-2010,2,79,16.4
21-04-2010,6,74,18.5
22-04-2010,0,74,17.8
23-04-2010,7,89,15.4
24-04-2010,11,95,17.1
25-04-2010,11,72,14.4
26-04-2010,4,78,10.4
27-04-2010,0,84,9.7
28-04-2010,6,84,12.4
29-04-2010,7,79,14.3
30-04-2010,0,99,9.4
01-05-2010,0,84,11.7
02-05-2010,7,97,10
03-05-2010,0,83,12.7
04-05-2010,7,92,11.9
05-05-2010,17,84,9.3
06-05-2010,11,78,10.8
07-05-2010,2,89,10.2
08-05-2010,0,84,13
09-05-2010,7,99,9.2
10-05-2010,2,99,8.1
11-05-2010,9,77,10.7
12-05-2010,7,81,6
13-05-2010,0,79,6.4
14-05-2010,7,99,5.7
15-05-2010,0,83,8.1
16-05-2010,0,84,8.2
17-05-2010,7,92,9.2
18-05-2010,7,90,7.4
19-05-2010,0,86,6.6
20-05-2010,0,88,6.8
21-05-2010,0,92,7.6
22-05-2010,0,76,6.3
23-05-2010,4,76,6.6
24-05-2010,9,74,10.3
25-05-2010,7,88,13.5
26-05-2010,11,71,14.9
27-05-2010,0,92,9.7
28-05-2010,0,96,9.4
29-05-2010,9,99,12.1
30-05-2010,11,99,10.8
31-05-2010,19,54,15
01-06-2010,0,89,8.3
02-06-2010,0,93,8.6
03-06-2010,0,79,8.9
04-06-2010,0,82,8.7
05-06-2010,7,99,5.1
06-06-2010,7,97,6.2
07-06-2010,0,80,4.2
08-06-2010,2,89,5.3
09-06-2010,11,81,7.8
10-06-2010,15,85,7.2
11-06-2010,6,82,9.2
12-06-2010,0,95,3.3
13-06-2010,6,83,4.1
14-06-2010,0,85,2.2
15-06-2010,2,92,3.4
16-06-2010,4,91,7.4
17-06-2010,30,82,13
18-06-2010,7,88,6.9
19-06-2010,17,95,10.3
20-06-2010,0,98,7.7
21-06-2010,9,99,7.4
22-06-2010,0,94,6.1
23-06-2010,0,89,7.2
24-06-2010,4,85,8.3
25-06-2010,9,83,12.1
26-06-2010,4,86,7.6
27-06-2010,2,99,2.8
28-06-2010,7,99,2.3
29-06-2010,9,71,6.5
30-06-2010,6,81,6.3
01-07-2010,0,99,5.5
02-07-2010,2,99,3.2
03-07-2010,0,99,3.7
04-07-2010,4,99,3.1
05-07-2010,7,99,2.4
06-07-2010,7,94,6.7
07-07-2010,0,99,3
08-07-2010,0,99,4.1
09-07-2010,0,90,4.8
10-07-2010,6,96,5
11-07-2010,4,99,11.8
12-07-2010,9,99,5.9
13-07-2010,7,98,6.2
14-07-2010,24,82,8.5
15-07-2010,13,85,6.9
16-07-2010,2,99,2.9
17-07-2010,6,99,2.8
18-07-2010,9,96,5.2
19-07-2010,4,99,7.7
20-07-2010,7,99,3.1
21-07-2010,0,99,2.9
22-07-2010,0,89,4
23-07-2010,7,99,4.1
24-07-2010,6,99,4.5
25-07-2010,4,99,4.5
26-07-2010,0,99,3.7
27-07-2010,0,85,4
28-07-2010,4,80,5.8
29-07-2010,0,99,10.3
30-07-2010,2,91,11.1
31-07-2010,4,100,11.1
01-08-2010,20,86,9.3
02-08-2010,15,85,7.8
03-08-2010,0,86,6.4
04-08-2010,0,94,5.5
05-08-2010,2,97,6.7
06-08-2010,6,99,3.2
07-08-2010,0,83,4.6
08-08-2010,0,86,4.3
09-08-2010,6,79,6
10-08-2010,9,86,9.7
11-08-2010,11,96,7.7
12-08-2010,19,91,9.2
13-08-2010,0,99,6.5
14-08-2010,15,85,8.9
15-08-2010,11,83,10.7
16-08-2010,17,94,7.7
17-08-2010,0,87,4.5
18-08-2010,0,92,5
19-08-2010,15,85,11.6
20-08-2010,20,82,6.4
21-08-2010,17,86,7
22-08-2010,7,87,7.6
23-08-2010,6,91,6.4
24-08-2010,19,90,9.4
25-08-2010,13,87,5.4
26-08-2010,20,84,7.3
27-08-2010,20,75,9
28-08-2010,6,99,4.1
29-08-2010,2,85,7.1
30-08-2010,0,84,7.4
31-08-2010,6,89,7.2
01-09-2010,7,86,11.2
02-09-2010,0,92,10.9
03-09-2010,17,65,10.2
04-09-2010,24,96,15.1
05-09-2010,22,81,10.6
06-09-2010,11,89,9.5
07-09-2010,7,83,8
08-09-2010,7,74,8.8
09-09-2010,7,76,11.1
10-09-2010,28,91,10.9
11-09-2010,7,88,8.4
12-09-2010,9,84,10.2
13-09-2010,7,88,11.4
14-09-2010,19,76,12.2
15-09-2010,20,68,9.5
16-09-2010,20,64,10.2
17-09-2010,13,76,8.8
18-09-2010,11,67,9.8
19-09-2010,2,90,9
20-09-2010,6,79,10
21-09-2010,2,81,11.9
22-09-2010,2,70,14.7
23-09-2010,0,76,12.1
24-09-2010,2,96,9
25-09-2010,7,84,12.1
26-09-2010,0,75,13.2
27-09-2010,4,83,11.9
28-09-2010,11,65,10.4
29-09-2010,19,66,9.4
30-09-2010,9,59,9.5
01-10-2010,7,71,9.9
02-10-2010,13,61,13.7
03-10-2010,2,72,13.4
04-10-2010,6,85,13.2
05-10-2010,7,78,16.3
06-10-2010,11,80,17.4
07-10-2010,20,64,10
08-10-2010,2,59,10.9
09-10-2010,2,83,9.9
10-10-2010,6,71,14.8
11-10-2010,15,60,15.4
12-10-2010,7,91,14.7
13-10-2010,11,92,16.2
14-10-2010,4,92,14
15-10-2010,28,93,18.5
16-10-2010,20,72,6.4
17-10-2010,15,77,9.5
18-10-2010,2,74,12.5
19-10-2010,6,78,10.9
20-10-2010,0,80,11.9
21-10-2010,0,75,13.5
22-10-2010,6,77,14.9
23-10-2010,6,81,17.4
24-10-2010,19,65,14.2
25-10-2010,4,77,14.6
26-10-2010,7,80,14.8
27-10-2010,11,81,15.6
28-10-2010,7,73,15
29-10-2010,7,70,17.1
30-10-2010,7,95,17.6
31-10-2010,17,78,15.5
01-11-2010,6,79,12.5
02-11-2010,11,73,12.1
03-11-2010,9,63,14.4
04-11-2010,13,61,13.3
05-11-2010,19,53,15
06-11-2010,15,59,14.4
07-11-2010,9,73,15.9
08-11-2010,11,71,19.4
09-11-2010,7,69,18.4
10-11-2010,7,76,21.5
11-11-2010,9,73,20.6
12-11-2010,20,60,24.4
13-11-2010,13,63,24.4
14-11-2010,15,93,19.2
15-11-2010,19,84,16.7
16-11-2010,11,56,15.8
17-11-2010,4,65,15.6
18-11-2010,6,68,16
19-11-2010,17,56,17.1
20-11-2010,7,63,18.3
21-11-2010,11,70,20
22-11-2010,7,59,22
23-11-2010,22,49,23.2
24-11-2010,20,46,24
25-11-2010,7,47,23.9
26-11-2010,13,92,18.5
27-11-2010,9,77,20.6
28-11-2010,17,86,18.5
29-11-2010,20,69,16.6
30-11-2010,22,69,17.4
01-12-2010,11,72,19.6
02-12-2010,9,70,21.3
03-12-2010,13,71,21.3
04-12-2010,2,65,22.5
05-12-2010,4,63,23.1
06-12-2010,11,63,23.3
07-12-2010,24,50,25.5
08-12-2010,22,82,21.4
09-12-2010,11,85,20.5
10-12-2010,13,59,19.1
11-12-2010,17,59,15.6
12-12-2010,24,54,17.7
13-12-2010,7,65,17
14-12-2010,6,67,18.6
15-12-2010,15,57,24.3
16-12-2010,20,72,17.6
17-12-2010,6,62,17.7
18-12-2010,19,64,16.9
19-12-2010,9,71,15
20-12-2010,20,79,10.8
21-12-2010,15,68,14.3
22-12-2010,6,71,16.6
23-12-2010,0,62,19.8
24-12-2010,15,47,20.6
25-12-2010,15,60,23.2
26-12-2010,6,75,22.2
27-12-2010,13,57,16.3
28-12-2010,17,49,15.1
29-12-2010,19,57,21.9
30-12-2010,9,55,21.7
31-12-2010,2,55,23.3
01-01-2011,13,46,26.8
02-01-2011,2,45,25.1
03-01-2011,19,56,20.2
04-01-2011,11,53,19.9
05-01-2011,4,57,22
06-01-2011,19,48,21.4
07-01-2011,17,51,23.4
08-01-2011,0,66,22.9
09-01-2011,17,55,26.7
10-01-2011,19,68,24.1
11-01-2011,13,81,22.5
12-01-2011,19,66,25.5
13-01-2011,6,86,24.4
14-01-2011,33,61,24.5
15-01-2011,4,83,22.3
16-01-2011,2,71,23.8
17-01-2011,19,70,21.6
18-01-2011,6,64,17.9
19-01-2011,4,70,19.1
20-01-2011,13,63,21.4
21-01-2011,9,60,24.9
22-01-2011,13,60,25.3
23-01-2011,11,53,24.6
24-01-2011,0,68,22.2
25-01-2011,4,60,21.1
26-01-2011,9,63,25.1
27-01-2011,0,60,19.8
28-01-2011,13,56,20.6
29-01-2011,7,59,21.5
30-01-2011,9,68,23
31-01-2011,7,56,25.3
01-02-2011,6,57,27.2
02-02-2011,17,77,25.4
03-02-2011,0,74,25.8
04-02-2011,4,80,24.8
05-02-2011,11,97,22.5
06-02-2011,19,81,14.7
07-02-2011,15,58,14.5
08-02-2011,7,66,18.5
09-02-2011,6,66,18.7
10-02-2011,9,79,19.8
11-02-2011,15,98,20.4
12-02-2011,7,88,19.6
13-02-2011,11,73,20.6
14-02-2011,6,57,19.4
15-02-2011,7,69,20.5
16-02-2011,0,80,20.7
17-02-2011,0,90,19.9
18-02-2011,13,68,22
19-02-2011,17,91,22.1
20-02-2011,13,80,19.4
21-02-2011,19,62,13.6
22-02-2011,15,53,15
23-02-2011,7,66,16.8
24-02-2011,2,76,18.9
25-02-2011,2,75,19.2
26-02-2011,6,70,19.6
27-02-2011,6,87,20.4
28-02-2011,7,85,20.4
01-03-2011,22,82,16
02-03-2011,11,67,13
03-03-2011,4,77,13.4
04-03-2011,6,79,13.2
05-03-2011,19,58,15.6
06-03-2011,0,68,15
07-03-2011,4,73,16.2
08-03-2011,6,71,16.8
09-03-2011,0,61,22.3
10-03-2011,9,92,19.8
11-03-2011,0,90,19
12-03-2011,0,88,19.8
13-03-2011,0,87,21.8
14-03-2011,7,96,19.6
15-03-2011,7,81,19.4
16-03-2011,6,87,19.8
17-03-2011,7,84,15.4
18-03-2011,9,77,16.2
19-03-2011,13,74,17.4
20-03-2011,13,71,19.4
21-03-2011,4,75,19.3
22-03-2011,0,82,20.1
23-03-2011,15,76,16.4
24-03-2011,13,90,15.7
25-03-2011,17,77,14.9
26-03-2011,2,67,15.1
27-03-2011,0,69,13.9
28-03-2011,2,81,14.2
29-03-2011,0,86,14.8
30-03-2011,9,87,15.6
31-03-2011,0,83,11.6
01-05-2011,0,81,12.8
02-05-2011,0,90,13.9
03-05-2011,0,74,14.6
04-05-2011,0,85,10.7
05-05-2011,0,70,10.8
06-05-2011,0,76,8.1
07-05-2011,0,96,6.2
08-05-2011,0,94,7.4
09-05-2011,7,60,11.4
10-05-2011,0,69,7.4
11-05-2011,22,83,8
12-05-2011,4,94,4.1
13-05-2011,11,98,9
14-05-2011,20,82,6.8
15-05-2011,0,95,3.3
16-05-2011,4,99,4.2
17-05-2011,0,85,5.4
18-05-2011,7,99,7.1
19-05-2011,0,91,6.6
20-05-2011,0,93,7.7
21-05-2011,0,85,8
22-05-2011,0,94,10.2
23-05-2011,19,88,13.2
24-05-2011,15,85,10
25-05-2011,11,74,7.3
26-05-2011,0,75,6.6
27-05-2011,2,99,6.1
28-05-2011,0,99,6.1
29-05-2011,4,99,4.7
30-05-2011,0,76,8.7
31-05-2011,0,73,8
01-06-2011,0,86,8.8
02-06-2011,7,99,7.7
03-06-2011,6,97,8.5
04-06-2011,9,95,10.9
05-06-2011,0,98,6.7
06-06-2011,9,77,6.8
07-06-2011,4,97,3.1
08-06-2011,13,89,3
09-06-2011,13,89,7.2
10-06-2011,0,85,4.3
11-06-2011,0,82,3.5
12-06-2011,0,76,7.6
13-06-2011,0,91,4.3
14-06-2011,7,78,8.2
15-06-2011,2,82,5.8
16-06-2011,0,89,4.8
17-06-2011,11,92,7.5
18-06-2011,13,91,7.9
19-06-2011,0,99,7.6
20-06-2011,6,86,10.4
21-06-2011,11,93,6.8
22-06-2011,19,93,6.3
23-06-2011,19,85,11
24-06-2011,6,99,6.4
25-06-2011,7,99,8
26-06-2011,6,99,5.7
27-06-2011,0,99,4.3
28-06-2011,0,98,3.6
29-06-2011,0,81,5.6
30-06-2011,0,92,5.4
01-07-2011,2,99,3.9
02-07-2011,4,99,3.7
03-07-2011,6,98,6.3
04-07-2011,7,85,10.7
05-07-2011,26,84,7.8
06-07-2011,17,94,7.9
07-07-2011,15,85,7.5
08-07-2011,0,93,4.3
09-07-2011,13,94,7.4
10-07-2011,19,78,7
11-07-2011,15,85,5.7
12-07-2011,0,83,7.7
13-07-2011,15,91,7.2
14-07-2011,6,99,4
15-07-2011,0,95,2.6
16-07-2011,0,78,5.3
17-07-2011,7,86,8.4
18-07-2011,17,92,8.6
19-07-2011,4,99,3.4
20-07-2011,2,99,3.6
21-07-2011,4,75,8.8
22-07-2011,17,56,12.5
23-07-2011,0,72,5.8
24-07-2011,0,93,5.5
25-07-2011,9,99,8
26-07-2011,2,99,7
27-07-2011,0,99,4.3
28-07-2011,6,99,2.9
29-07-2011,2,92,3.6
30-07-2011,2,89,4.9
31-07-2011,2,96,8.8
01-08-2011,0,92,8.7
02-08-2011,0,90,10.7
